"id","name"
"skvr_334","Seppänen, Aleks."
"skvr_335","Sievänen, Iida"
"skvr_336","Snellman, Sofia"
"skvr_337","Sopanen"
"skvr_338","Valkoja, Ester"
"skvr_339","Tanttu, August"
"skvr_340","Pulkkinen, Asko"
"skvr_341","Malkki, Vilho A."
"skvr_342","Pylkkönen, Aaro"
"skvr_343","Vihavainen, Kusti"
"skvr_344","Reponen, Otto"
"skvr_345","Karttunen, Aili"
"skvr_346","Streng, Harry"
"skvr_347","Ståhlberg, Kaarlo"
"skvr_348","Suomalainen, T."
"skvr_349","Tanttu, A."
"skvr_350","Tarkiainen, Viljo"
"skvr_351","Taskinen, S. V."
"skvr_352","Tepponen, H."
"skvr_353","Tiitinen, Martti"
"skvr_354","Tikkanen, Antti"
"skvr_355","Tikkanen, Eino"
"skvr_356","Tikkanen, Fredrik"
"skvr_357","Tirkkonen, Jussi"
"skvr_358","Toivonen, Yrjö"
"skvr_359","Topelius, Zacharias"
"skvr_360","Tossavainen, Juho"
"skvr_361","Tossavainen, M."
"skvr_362","Tuokko, Jaakko"
"skvr_363","Tuomala, J. E."
"skvr_364","Tuovinen, Inkeri"
"skvr_365","Tuovinen, Viljo"
"skvr_366","Törnudd ja Reinius"
"skvr_367","Varpaisjärven kunnan Lukkarilan kansakoulu"
"skvr_368","Wegelius, Henrik Eliel"
"skvr_369","Vehviläinen, Annikki"
"skvr_370","Weilin, Ebba"
"skvr_371","Wessman, V. E. V."
"skvr_372","Vesterlund, Veikko"
"skvr_373","Vidbom, K. V."
"skvr_374","Vinter, G. J."
"skvr_375","Väisänen, M."
"skvr_376","Väänänen, Yrjö"
"skvr_377","Väätänen, A."
"skvr_378","Väätäinen, Jalmari"
"skvr_379","Öfverling, J."
"skvr_380","Borg, C. G."
"skvr_381","Juutilainen, A. V."
"skvr_382","Mäkipalo, Tauno"
"skvr_383","Ramstedt, A. ja Carlenius, O. A. J."
"skvr_384","Aarni, Alma"
"skvr_385","Aavaranta, Lyyli"
"skvr_386","Alava, Vihtori"
"skvr_387","Kuittinen, Alva"
"skvr_388","Suikka, Antti"
"skvr_389","Kälviäinen, Arvi"
"skvr_390","Cederberg, Eino"
"skvr_391","Festen, H. ja E."
"skvr_392","Flink, B."
"skvr_393","Heideman, K. F. ja Palmroth, K. W."
"skvr_394","Hirsikoski, Erland"
"skvr_395","Hokkanen, Paul"
"skvr_396","Hyvärinen, Ida"
"skvr_397","Hämäläinen, E. G."
"skvr_398","Jäkälä, O. V."
"skvr_399","Weilin, Yrjö"
"skvr_400","Karhu, Lyyli"
"skvr_401","Karvonen, Viljo"
"skvr_402","Ketonen, K."
"skvr_403","Airaksinen, Emil"
"skvr_404","Koskenjaakko, Anshelm"
"skvr_405","Karppinen, Juhani"
"skvr_406","Oksman, Juho"
"skvr_407","Pulkkinen, Eino"
"skvr_408","Heimonen, Anni"
"skvr_409","Hokkanen, Eino"
"skvr_410","Hynynen, Hanna"
"skvr_411","Iivanainen, Aino"
"skvr_412","Ikäheimo, Allan"
"skvr_413","Kolehmainen, Ville"
"skvr_414","Koponen, Juho"
"skvr_415","Korhonen, Lauri"
"skvr_416","Kutila, Elsa"
"skvr_417","Launonen, Olavi"
"skvr_418","Leppänen, August"
"skvr_419","Lipsanen, Oskar"
"skvr_420","Mannerheimo, Ville"
"skvr_421","Juntunen, Liisa"
"skvr_422","Nissinen, Armas"
"skvr_423","Pennanen, Olavi"
"skvr_424","Pesonen, Onni"
"skvr_425","Pulkkinen, Hannes"
"skvr_426","Rissanen, Kalle"
"skvr_427","Rossi, Jaakko"
"skvr_428","Ruuskanen, August"
"skvr_429","Räsänen, Lyyli"
"skvr_430","Räsänen, Paavo"
"skvr_431","Sepponen, A."
"skvr_432","Sundberg, Leo"
"skvr_433","Tikkanen, Esteri"
"skvr_434","Toivonen, Tarmo"
"skvr_435","Halonen, Yrjö"
"skvr_436","Heiskanen, Väinö"
"skvr_437","Horttanainen, Erkki"
"skvr_438","Kainulainen, Samuli"
"skvr_439","Kava, Kauko"
"skvr_440","Kekäläinen, A."
"skvr_441","Koistinen, Kalle"
"skvr_442","Komulainen, Heikki"
"skvr_443","Koskinen, Hannes"
"skvr_444","Kurho, Eero"
"skvr_445","Käyhkö, Veli"
"skvr_446","Laukkanen, Eljas"
"skvr_447","Leinonen, Aarne"
"skvr_448","Leppänen, Simo"
"skvr_449","Nivalainen, Juho"
"skvr_450","Nuutinen, Eemil"
"skvr_451","Paajanen, Lyyli"
"skvr_452","Pasonen, Vilho"
"skvr_453","Reinikainen, Aarne"
"skvr_454","Ripatti, Anni"
"skvr_455","Rossi, Leena"
"skvr_456","Saastamoinen, Mauri"
"skvr_457","Silvennoinen, Heikki"
"skvr_458","Smolander, Anni"
"skvr_459","Tikkanen, Otto"
"skvr_460","Vihavainen, Alviina"
"skvr_461","Voutilainen, Antti"
"skvr_462","Väisänen, Toivo"
"skvr_463","Kärkkäinen, Vilhelmiina"
"skvr_464","Lahti, Jalmari"
"skvr_465","Lyytikäinen, Veikko"
"skvr_466","Melander, E."
"skvr_467","Meriläinen, Heikki"
"skvr_468","Mäkeläinen, Aug."
"skvr_469","Paasonen, Märtta"
"skvr_470","Pasanen, Henrik"
"skvr_471","Paunonen, Aug."
"skvr_472","Pitkänen, Erkki"
"skvr_473","Porin tyttölyseo"
"skvr_474","Pylvänäinen, K."
"skvr_475","Pääkkönen, L. V."
"skvr_476","Raatikainen, Eelis"
"skvr_478","Rissanen, Jalmari"
"skvr_479","Rönkä, Hilda"
"skvr_480","Ruhanen, A."
"skvr_481","Ruotsalainen, P."
"skvr_482","Räsänen, Martti"
"skvr_483","Eskelinen, A. H."
"skvr_484","Aalto, Gabriel"
"skvr_485","Keskisaari, P. V."
"skvr_486","Laitinen, Abram"
"skvr_487","Kinnunen, Impi"
"skvr_488","Kuukka, Juho"
"skvr_489","Kuvaja, O. F."
"skvr_490","Kälviäinen, Arvi"
"skvr_491","Kääriäinen, Elis"
"skvr_492","Varis, Huugo"
"skvr_493","Virta, Alma"
"skvr_494","Tanttu, Kasperi"
"skvr_495","Tuppurainen, A."
"skvr_496","Tyyskä, J."
"skvr_497","Vainikka, Tahvo"
"skvr_498","Väänänen, Jorma"
"skvr_499","Karhumäki, U."
"skvr_500","Kovanen, F."
"skvr_501","Ojala, I."
"skvr_502","Berner, A."
"skvr_503","Cajan, J. Fr."
"skvr_504","Castrén, M. A."
